template_id,template,total_rows,unique_companies,unique_raw_templates,unique_headlines,unique_sessions,mean_bar_ix,median_bar_ix,p10_bar_ix,p90_bar_ix,share_of_all_rows,intent,super_family,direction_prior,test_private_seen,test_public_seen,train_seen,train_unseen,rows_seen,rows_unseen,rows_test,rows_train,rows_seen_late_40_49,rows_seen_early_0_9,late_seen_share,early_seen_share,seen_share,unseen_share,train_share,test_share,mean_rows_per_session,median_rows_per_session,max_rows_in_single_session,example_headlines_top3,example_companies_top3
T001,secures <NUM> contract with <PARTNER>,35279,80,21,5589,17596,26.067178774908587,25.0,5.0,46.0,0.16345962275340897,contract_win,commercial_deals,positive,16165,16234,1602,1278,34001,1278,32399,2880,6647,6833,0.19549425016911268,0.20096467750948502,0.9637744834037246,0.0362255165962754,0.08163496697752204,0.918365033022478,2.0049443055239826,2.0,8,Arnos Marketplace secures $180M contract with a major logistics provider || Arnos Marketplace secures $650M contract with a multinational manufacturer || Krevan Investments secures $75M contract with a leading cloud platform,Arnos Marketplace || Urvel Grid || Krevan Investments
T002,delays product launch in <DOMAIN> segment,5180,80,30,799,4604,26.16119691119691,25.0,5.0,46.0,0.02400070426777002,launch_delay,product_technology,negative,2393,2363,238,186,4994,186,4756,424,988,1017,0.19783740488586304,0.20364437324789747,0.9640926640926641,0.035907335907335906,0.08185328185328185,0.9181467181467181,1.1251086012163336,1.0,4,Xovep Stores delays product launch in supply chain optimization segment || Zelvon Biosciences delays product launch in data analytics segment || Myrnep Technologies delays product launch in supply chain optimization segment,Xovep Stores || Grevel Diagnostics || Arnos Marketplace
T003,faces regulatory review of <DOMAIN> practices,5169,80,30,797,4629,25.953956277810022,25.0,4.0,46.0,0.02394973752125545,regulatory_review,regulatory_legal,negative,2388,2380,231,170,4999,170,4768,401,994,1019,0.1988397679535907,0.20384076815363072,0.967111627007158,0.03288837299284194,0.077577868059586,0.922422131940414,1.1166558651976668,1.0,4,Relvon Fuels faces regulatory review of precision manufacturing practices || Calvos Genomics faces regulatory review of renewable storage practices || Prynis Systems faces regulatory review of wireless connectivity practices,Yorvov Pharmaceuticals || Prynis Systems || Crevol Retail
T004,files for regulatory approval of new <DOMAIN> offering,5144,80,30,799,4560,25.874611197511665,25.0,5.0,46.0,0.02383390400644961,regulatory_approval_filing,regulatory_legal,neutral_or_event,2424,2321,225,174,4970,174,4745,399,970,988,0.19517102615694165,0.19879275653923542,0.9661741835147745,0.03382581648522551,0.07756609642301711,0.9224339035769828,1.1280701754385964,1.0,4,Zelval Energy files for regulatory approval of new renewable storage offering || Xelvol Biotech files for regulatory approval of new digital payments offering || Ulvyn Microchips files for regulatory approval of new digital payments offering,Pleven Trading || Xovol Goods || Xelvol Biotech
T005,"reports record quarterly revenue, up <NUM> year-over-year",5130,80,3,798,4582,25.88440545808967,25.0,5.0,46.0,0.02376903723815834,revenue_record_up,financial_performance,positive,2365,2353,251,161,4969,161,4718,412,986,1007,0.19843026765948882,0.20265647011471122,0.968615984405458,0.03138401559454191,0.08031189083820663,0.9196881091617933,1.1195984286337843,1.0,4,"Relvon Fuels reports record quarterly revenue, up 10% year-over-year || Nolvav Commerce reports record quarterly revenue, up 3% year-over-year || Zelvon Biosciences reports record quarterly revenue, up 18% year-over-year",Plevep Power || Wyrnik Sciences || Zelvon Biosciences
T006,wins industry award for excellence in <DOMAIN>,5114,80,30,798,4595,25.84258897145092,25.0,5.0,46.0,0.0236949037886826,award_recognition,product_technology,positive,2356,2377,223,158,4956,158,4733,381,971,980,0.19592413236481032,0.1977401129943503,0.9691044192412984,0.030895580758701604,0.0745013687915526,0.9254986312084474,1.112948857453754,1.0,5,Xovol Goods wins industry award for excellence in automated logistics || Ixenix Technologies wins industry award for excellence in precision manufacturing || Ixenis Outlets wins industry award for excellence in digital payments,Ixenix Technologies || Nolvav Commerce || Jovor Networks
T007,launches next-generation <DOMAIN> platform,5091,80,30,800,4528,25.86957375761147,25.0,4.0,46.0,0.02358833695506123,next_gen_launch,product_technology,positive,2341,2338,237,175,4916,175,4679,412,986,997,0.20056956875508544,0.20280716029292106,0.9656256138283245,0.03437438617167551,0.08092712630131604,0.919072873698684,1.1243374558303887,1.0,4,Halven Investments launches next-generation data analytics platform || Urvel Grid launches next-generation data analytics platform || Jorvyl Securities launches next-generation wireless connectivity platform,Kelvik Power || Relvon Fuels || Calvis Sciences
T008,recalls products in <DOMAIN> line due to quality concerns,5087,80,30,798,4528,25.741694515431494,25.0,5.0,46.0,0.023569803592692295,quality_recall,product_technology,negative,2285,2429,215,158,4929,158,4714,373,915,983,0.1856360316494218,0.19943193345506188,0.9689404364065265,0.03105956359347356,0.07332415962256733,0.9266758403774327,1.1234540636042403,1.0,4,Frelol Software recalls products in automated logistics line due to quality concerns || Dralol Computing recalls products in process automation line due to quality concerns || Kelvik Power recalls products in precision manufacturing line due to quality concerns,Xovol Goods || Plevum Partners || Varvov Retail
T009,names new head of <DOMAIN> division,5079,80,30,800,4529,26.257531010041347,25.0,5.0,46.0,0.023532736867954426,division_leadership_change,leadership_governance_ir,neutral_or_event,2329,2340,216,194,4885,194,4669,410,960,965,0.19651995905834185,0.19754350051177072,0.961803504626895,0.03819649537310494,0.08072455207718054,0.9192754479228195,1.1214396113932434,1.0,4,Ixenix Technologies names new head of wireless connectivity division || Talvyn Goods names new head of precision manufacturing division || Frelis Genomics names new head of supply chain optimization division,Kelvos Resources || Myrnon Therapeutics || Crevol Retail
T010,misses quarterly revenue estimates by <NUM>,5071,80,3,800,4568,26.234470518635376,26.0,5.0,46.0,0.023495670143216556,revenue_miss,financial_performance,negative,2338,2308,237,188,4883,188,4646,425,925,975,0.18943272578332992,0.19967233258242884,0.9629264444882666,0.037073555511733386,0.08380989942812068,0.9161901005718793,1.1101138353765323,1.0,3,Plevik Energy misses quarterly revenue estimates by 15% || Nerval Biopharma misses quarterly revenue estimates by 12% || Orevov Solutions misses quarterly revenue estimates by 3%,Zelvix Therapeutics || Ilval Financial || Pleven Trading
T011,sees <NUM> margin improvement in latest quarter,5061,80,3,800,4533,26.021734835012843,26.0,4.0,46.0,0.023449336737294223,margin_improvement,financial_performance,positive,2282,2388,212,179,4882,179,4670,391,926,1024,0.1896763621466612,0.2097501024170422,0.9646314957518277,0.0353685042481723,0.07725745900019759,0.9227425409998025,1.1164791528788882,1.0,4,Plevik Energy sees 8% margin improvement in latest quarter || Yorven Labs sees 25% margin improvement in latest quarter || Jorvis Fuels sees 15% margin improvement in latest quarter,Brevon Microchips || Nolvol Resources || Crevol Retail
T012,announces breakthrough in <DOMAIN>,5058,80,30,799,4549,26.19909054962436,26.0,4.0,47.0,0.02343543671551752,product_breakthrough,product_technology,positive,2323,2344,214,177,4881,177,4667,391,1019,1009,0.20876869493956157,0.206719934439664,0.965005931198102,0.03499406880189798,0.07730328192961645,0.9226967180703836,1.1118927236755332,1.0,4,Jovik Asset Group announces breakthrough in process automation || Kelvik Power announces breakthrough in enterprise software || Urvel Grid announces breakthrough in wireless connectivity,Urvel Grid || Jorvix Diagnostics || Ixenix Technologies
T013,sees mixed results in <DOMAIN> pilot program,5057,80,30,799,4542,25.917935534902117,25.0,5.0,46.0,0.02343080337492529,pilot_mixed,product_technology,neutral_or_event,2334,2344,221,158,4899,158,4678,379,1010,955,0.20616452337211677,0.19493774239640743,0.9687561795530947,0.03124382044690528,0.07494561993276647,0.9250543800672335,1.1133861734918538,1.0,3,Yorval Partners sees mixed results in process automation pilot program || Jorval Trading Co sees mixed results in data analytics pilot program || Varvov Retail Group sees mixed results in process automation pilot program,Orevov Solutions || Plevik Energy || Yorval Partners
